 b72 | 07/08/2024 | 06:57:24 AM EEST | Session Audit #0xff |  | Asserted
 b73 | 07/08/2024 | 06:59:35 AM EEST | Session Audit #0xff |  | Asserted
 b74 | 07/08/2024 | 07:01:50 AM EEST | Session Audit #0xff |  | Asserted
 b75 | 07/08/2024 | 07:04:02 AM EEST | Session Audit #0xff |  | Asserted
 b76 | 07/08/2024 | 07:04:56 AM EEST | Session Audit #0xff |  | Asserted
 b77 | 07/08/2024 | 07:06:13 AM EEST | Session Audit #0xff |  | Asserted
 b78 | 07/08/2024 | 07:08:24 AM EEST | Session Audit #0xff |  | Asserted
 b79 | 07/08/2024 | 07:10:34 AM EEST | Session Audit #0xff |  | Asserted
 b7a | 07/08/2024 | 07:14:52 AM EEST | Session Audit #0xff |  | Asserted
 b7b | 07/08/2024 | 07:16:46 AM EEST | Session Audit #0xff |  | Asserted
 b7c | 07/08/2024 | 07:19:48 AM EEST | Session Audit #0xff |  | Asserted
 b7d | 07/08/2024 | 07:22:01 AM EEST | Session Audit #0xff |  | Asserted
 b7e | 07/08/2024 | 07:24:11 AM EEST | Session Audit #0xff |  | Asserted
 b7f | 07/08/2024 | 07:26:22 AM EEST | Session Audit #0xff |  | Asserted
 b80 | 07/08/2024 | 07:28:32 AM EEST | Session Audit #0xff |  | Asserted
 b81 | 07/08/2024 | 07:28:35 AM EEST | Session Audit #0xff |  | Asserted
 b82 | 07/08/2024 | 07:30:45 AM EEST | Session Audit #0xff |  | Asserted
 b83 | 07/08/2024 | 07:32:55 AM EEST | Session Audit #0xff |  | Asserted
 b84 | 07/08/2024 | 07:35:07 AM EEST | Session Audit #0xff |  | Asserted
 b85 | 07/08/2024 | 07:37:19 AM EEST | Session Audit #0xff |  | Asserted
 b86 | 07/08/2024 | 07:39:34 AM EEST | Session Audit #0xff |  | Asserted
 b87 | 07/08/2024 | 07:40:26 AM EEST | Session Audit #0xff |  | Asserted
 b88 | 07/08/2024 | 07:41:44 AM EEST | Session Audit #0xff |  | Asserted
 b89 | 07/08/2024 | 07:43:57 AM EEST | Session Audit #0xff |  | Asserted
 b8a | 07/08/2024 | 07:48:19 AM EEST | Session Audit #0xff |  | Asserted
 b8b | 07/08/2024 | 07:50:29 AM EEST | Session Audit #0xff |  | Asserted
 b8c | 07/08/2024 | 07:52:43 AM EEST | Session Audit #0xff |  | Asserted
 b8d | 07/08/2024 | 07:54:54 AM EEST | Session Audit #0xff |  | Asserted
 b8e | 07/08/2024 | 07:57:06 AM EEST | Session Audit #0xff |  | Asserted
 b8f | 07/08/2024 | 08:01:32 AM EEST | Session Audit #0xff |  | Asserted
 b90 | 07/08/2024 | 08:04:45 AM EEST | Session Audit #0xff |  | Asserted
 b91 | 07/08/2024 | 08:05:52 AM EEST | Session Audit #0xff |  | Asserted
 b92 | 07/08/2024 | 08:08:05 AM EEST | Session Audit #0xff |  | Asserted
 b93 | 07/08/2024 | 08:10:22 AM EEST | Session Audit #0xff |  | Asserted
 b94 | 07/08/2024 | 08:12:27 AM EEST | Session Audit #0xff |  | Asserted
 b95 | 07/08/2024 | 08:14:34 AM EEST | Session Audit #0xff |  | Asserted
 b96 | 07/08/2024 | 08:16:46 AM EEST | Session Audit #0xff |  | Asserted
 b97 | 07/08/2024 | 08:16:50 AM EEST | Session Audit #0xff |  | Asserted
 b98 | 07/08/2024 | 08:18:51 AM EEST | Session Audit #0xff |  | Asserted
 b99 | 07/08/2024 | 08:20:56 AM EEST | Session Audit #0xff |  | Asserted
 b9a | 07/08/2024 | 08:23:02 AM EEST | Session Audit #0xff |  | Asserted
 b9b | 07/08/2024 | 08:25:08 AM EEST | Session Audit #0xff |  | Asserted
 b9c | 07/08/2024 | 08:27:16 AM EEST | Session Audit #0xff |  | Asserted
 b9d | 07/08/2024 | 08:28:49 AM EEST | Session Audit #0xff |  | Asserted
 b9e | 07/08/2024 | 08:29:23 AM EEST | Session Audit #0xff |  | Asserted
 b9f | 07/08/2024 | 08:31:31 AM EEST | Session Audit #0xff |  | Asserted
 ba0 | 07/08/2024 | 08:35:51 AM EEST | Session Audit #0xff |  | Asserted
 ba1 | 07/08/2024 | 08:38:01 AM EEST | Session Audit #0xff |  | Asserted
 ba2 | 07/08/2024 | 08:40:15 AM EEST | Session Audit #0xff |  | Asserted
 ba3 | 07/08/2024 | 08:41:04 AM EEST | Session Audit #0xff |  | Asserted
 ba4 | 07/08/2024 | 08:42:26 AM EEST | Session Audit #0xff |  | Asserted
 ba5 | 07/08/2024 | 08:50:57 AM EEST | Session Audit #0xff |  | Asserted
 ba6 | 07/08/2024 | 08:53:05 AM EEST | Session Audit #0xff |  | Asserted
 ba7 | 07/08/2024 | 08:53:52 AM EEST | Session Audit #0xff |  | Asserted
 ba8 | 07/08/2024 | 08:57:24 AM EEST | Session Audit #0xff |  | Asserted
 ba9 | 07/08/2024 | 08:59:34 AM EEST | Session Audit #0xff |  | Asserted
 baa | 07/08/2024 | 09:01:46 AM EEST | Session Audit #0xff |  | Asserted
 bab | 07/08/2024 | 09:03:55 AM EEST | Session Audit #0xff |  | Asserted
 bac | 07/08/2024 | 09:06:05 AM EEST | Session Audit #0xff |  | Asserted
 bad | 07/08/2024 | 09:06:17 AM EEST | Session Audit #0xff |  | Asserted
 bae | 07/08/2024 | 09:08:13 AM EEST | Session Audit #0xff |  | Asserted
 baf | 07/08/2024 | 09:10:21 AM EEST | Session Audit #0xff |  | Asserted
 bb0 | 07/08/2024 | 09:12:30 AM EEST | Session Audit #0xff |  | Asserted
 bb1 | 07/08/2024 | 09:18:34 AM EEST | Session Audit #0xff |  | Asserted
 bb2 | 07/08/2024 | 09:28:26 AM EEST | Session Audit #0xff |  | Asserted
 bb3 | 07/08/2024 | 09:30:51 AM EEST | Session Audit #0xff |  | Asserted
 bb4 | 07/08/2024 | 09:32:49 AM EEST | Session Audit #0xff |  | Asserted
 bb5 | 07/08/2024 | 09:35:01 AM EEST | Session Audit #0xff |  | Asserted
 bb6 | 07/08/2024 | 09:39:22 AM EEST | Session Audit #0xff |  | Asserted
 bb7 | 07/08/2024 | 09:42:46 AM EEST | Session Audit #0xff |  | Asserted
 bb8 | 07/08/2024 | 09:43:39 AM EEST | Session Audit #0xff |  | Asserted
 bb9 | 07/08/2024 | 09:45:45 AM EEST | Session Audit #0xff |  | Asserted
 bba | 07/08/2024 | 09:47:53 AM EEST | Session Audit #0xff |  | Asserted
 bbb | 07/08/2024 | 09:50:02 AM EEST | Session Audit #0xff |  | Asserted
 bbc | 07/08/2024 | 09:52:13 AM EEST | Session Audit #0xff |  | Asserted
 bbd | 07/08/2024 | 09:54:21 AM EEST | Session Audit #0xff |  | Asserted
 bbe | 07/08/2024 | 09:54:53 AM EEST | Session Audit #0xff |  | Asserted
 bbf | 07/08/2024 | 09:56:33 AM EEST | Session Audit #0xff |  | Asserted
 bc0 | 07/08/2024 | 09:58:42 AM EEST | Session Audit #0xff |  | Asserted
 bc1 | 07/08/2024 | 10:00:50 AM EEST | Session Audit #0xff |  | Asserted
 bc2 | 07/08/2024 | 10:03:04 AM EEST | Session Audit #0xff |  | Asserted
 bc3 | 07/08/2024 | 10:05:11 AM EEST | Session Audit #0xff |  | Asserted
 bc4 | 07/08/2024 | 10:06:50 AM EEST | Session Audit #0xff |  | Asserted
 bc5 | 07/08/2024 | 10:07:19 AM EEST | Session Audit #0xff |  | Asserted
 bc6 | 07/08/2024 | 10:09:33 AM EEST | Session Audit #0xff |  | Asserted
 bc7 | 07/08/2024 | 10:11:42 AM EEST | Session Audit #0xff |  | Asserted
 bc8 | 07/08/2024 | 10:16:02 AM EEST | Session Audit #0xff |  | Asserted
 bc9 | 07/08/2024 | 10:18:14 AM EEST | Session Audit #0xff |  | Asserted
 bca | 07/08/2024 | 10:18:22 AM EEST | Session Audit #0xff |  | Asserted
 bcb | 07/08/2024 | 10:20:21 AM EEST | Session Audit #0xff |  | Asserted
 bcc | 07/08/2024 | 10:22:33 AM EEST | Session Audit #0xff |  | Asserted
 bcd | 07/08/2024 | 10:24:43 AM EEST | Session Audit #0xff |  | Asserted
 bce | 07/08/2024 | 10:26:53 AM EEST | Session Audit #0xff |  | Asserted
 bcf | 07/08/2024 | 10:29:03 AM EEST | Session Audit #0xff |  | Asserted
 bd0 | 07/08/2024 | 10:30:12 AM EEST | Session Audit #0xff |  | Asserted
 bd1 | 07/08/2024 | 10:31:14 AM EEST | Session Audit #0xff |  | Asserted
 bd2 | 07/08/2024 | 10:33:25 AM EEST | Session Audit #0xff |  | Asserted
 bd3 | 07/08/2024 | 10:35:33 AM EEST | Session Audit #0xff |  | Asserted
 bd4 | 07/08/2024 | 10:37:42 AM EEST | Session Audit #0xff |  | Asserted
 bd5 | 07/08/2024 | 10:39:51 AM EEST | Session Audit #0xff |  | Asserted
 bd6 | 07/08/2024 | 10:42:05 AM EEST | Session Audit #0xff |  | Asserted
 bd7 | 07/08/2024 | 10:42:11 AM EEST | Session Audit #0xff |  | Asserted
 bd8 | 07/08/2024 | 10:44:10 AM EEST | Session Audit #0xff |  | Asserted
 bd9 | 07/08/2024 | 10:48:33 AM EEST | Session Audit #0xff |  | Asserted
